127.0.0.1 - - [16/Apr/2021:09:12:58 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [16/Apr/2021:09:12:59 +0900] "GET /home HTTP/1.1" 200 4487
0:0:0:0:0:0:0:1 - - [16/Apr/2021:09:12:59 +0900] "GET /style.css HTTP/1.1" 200 1807
0:0:0:0:0:0:0:1 - - [16/Apr/2021:09:12:59 +0900] "GET /script.js HTTP/1.1" 200 1489
0:0:0:0:0:0:0:1 - - [16/Apr/2021:09:12:59 +0900] "GET /title.png HTTP/1.1" 200 22912
0:0:0:0:0:0:0:1 - - [16/Apr/2021:09:12:59 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [16/Apr/2021:09:13:00 +0900] "GET /pro/list.json?key=prod_id&word=&page=1&perpage=8&order=prod_id&desc=desc HTTP/1.1" 200 1562
0:0:0:0:0:0:0:1 - - [16/Apr/2021:09:13:00 +0900] "GET /product/img/clt09.jpg HTTP/1.1" 200 124375
0:0:0:0:0:0:0:1 - - [16/Apr/2021:09:13:00 +0900] "GET /product/img/clt08.jpg HTTP/1.1" 200 233421
0:0:0:0:0:0:0:1 - - [16/Apr/2021:09:13:00 +0900] "GET /product/img/clt06.jpg HTTP/1.1" 200 494666
0:0:0:0:0:0:0:1 - - [16/Apr/2021:09:13:00 +0900] "GET /product/img/clt05.jpg HTTP/1.1" 200 218311
0:0:0:0:0:0:0:1 - - [16/Apr/2021:09:13:00 +0900] "GET /product/img/clt04.jpg HTTP/1.1" 200 377519
0:0:0:0:0:0:0:1 - - [16/Apr/2021:09:13:00 +0900] "GET /product/img/clt07.jpg HTTP/1.1" 200 174217
0:0:0:0:0:0:0:1 - - [16/Apr/2021:09:13:00 +0900] "GET /product/img/clt03.jpg HTTP/1.1" 200 89711
0:0:0:0:0:0:0:1 - - [16/Apr/2021:09:13:00 +0900] "GET /product/img/clt02.jpg HTTP/1.1" 200 71509
0:0:0:0:0:0:0:1 - - [16/Apr/2021:09:13:22 +0900] "POST /user/login HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [16/Apr/2021:09:13:24 +0900] "GET /home HTTP/1.1" 200 4401
0:0:0:0:0:0:0:1 - - [16/Apr/2021:09:13:24 +0900] "GET /pro/list.json?key=prod_id&word=&page=1&perpage=8&order=prod_id&desc=desc HTTP/1.1" 200 1562
0:0:0:0:0:0:0:1 - - [16/Apr/2021:09:13:25 +0900] "GET /pro/list HTTP/1.1" 200 4002
